,Relaxed,Dizzy,Hungry,Euphoric,Happy,Depression,Insomnia,Pain,Stress,Cramps,Creative,Energetic,Talkative,Lack of Appetite,Nausea,Dry Mouth,Headache,Uplifted,Tingly,Paranoid,Sleepy,Fatigue,Headaches,Dry Eyes,Focused,Eye Pressure,Anxious,Giggly,Aroused,Inflammation,Spasticity,Seizures,Muscle Spasms
Crouching Tiger Hidden Alien,yes,no,no,yes,yes,no,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,yes
Crown OG,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Crown Royale,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes
Crunch Berry Kush,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Crypt,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no
Crystal Coma,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
Crystal Gayle,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
Crystalberry,yes,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,yes,yes,no,no,no,no
Cuvee,yes,no,no,yes,yes,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no
DJ Short Blueberry,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
DJ Smoke,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Dairy Queen,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,yes,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Dakini  Kush,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no
Damn Sour,no,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no
Damnesia,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Dance World,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Dancehall,yes,no,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no
Dank Schrader,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no
Dank Sinatra,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no
Danky Doodle,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Dark Blue Dream,yes,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Dark Side of the Moon,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Dark Star,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Darkside OG,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,yes
Darth Vader OG,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
Dawg's Waltz,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes
Dawgfather OG,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Day Tripper,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes
Deadhead OG,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Deadwood,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes
Death Bubba,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Death Star,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
Death Star OG,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Deep Cheese,yes,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no
Deep Chunk,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no
Deep Purple,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,yes,no,no,no
Deep Sleep,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
DelaHaze,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,yes,no,no,yes,no,no,no
Denver Maple,yes,no,no,no,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no
Desert Star,no,no,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no
Destroyer,no,no,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
Devil Fruit,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,yes,no,no
Devil's Tit,yes,no,no,yes,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,no,no
Diablo,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Diamond OG,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,yes
Diamond Valley Kush,yes,no,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no
Diesel Duff,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes
Dieseltonic,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,no,yes,no,no,no
Digweed,yes,yes,no,no,yes,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no
Dinachem,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Dirty Girl,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,yes,no,no,no,no,no,no
Dirty Widow,no,no,yes,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Disney Blue,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no
Dizzy OG,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no
Django,no,yes,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes
Do-Si-Dos,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Doctor Doctor,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,no,no,yes
Dog Shit,yes,no,no,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,yes
Dogwalker OG,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,no,yes,no,no,yes,yes,no,no,no,no,no
Dolla Sign OG Kush,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Don Shula,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Donegal,yes,no,no,yes,no,yes,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no
Donna OG,yes,no,no,yes,no,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
Doobiebird Daydream,yes,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no
Doox,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,yes
Dopium,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Dorit,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no
Double Barrel OG,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,no
Double Diesel,yes,yes,no,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no
Double Dream,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no
Double Dutch,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Double OG,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,yes
Double Purple Doja,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes
Double Tangie Banana,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Dr. Feelgood,yes,no,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Dr. Funk,yes,no,no,yes,yes,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes
Dr. Grinspoon,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no
Dr. Who,yes,yes,no,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,no,no,yes,no,no,no,no,no,no
Dragon OG,yes,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no
Dragon's Breath,yes,no,no,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes
Dreadlock,yes,no,no,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no
Dream Beaver,no,no,no,no,no,no,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,yes,yes,yes
Dream Berry,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Dream Lotus,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no
Dream Police,yes,no,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no
Dream Queen,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no
Dream Star,no,no,no,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
Dreamer’s Glass,yes,no,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,yes,yes
Drizella,no,no,no,yes,yes,yes,no,no,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no
Duke Nukem,no,yes,no,no,yes,yes,no,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no
Durban Berry,yes,no,no,no,yes,yes,no,no,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no
Durban Cheese,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no
Durban Cookies,yes,no,no,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,no,no,no
Durban Poison,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no
Durga Mata,yes,no,no,no,yes,no,no,no,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no
Dutch Crunch,yes,no,yes,no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no
Dutch Dragon,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,no,yes
Dutch Hawaiian,yes,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Dutch Haze,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no
Dutch Kush,yes,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no
Dutch Queen,yes,no,no,yes,yes,yes,no,no,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no
Dutch Thunder Fuck,no,no,no,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Dutch Treat,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Dutch Treat Haze,yes,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Dutchberry,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no
Dynamite,yes,no,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no
Early Girl,yes,yes,no,no,yes,yes,no,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,yes
Early Miss,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no
Early Pearl,yes,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no
Early Skunk,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Earth OG,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Earthquake,yes,no,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,no
Earthshaker OG,no,yes,no,yes,yes,no,yes,yes,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no
East Coast Alien,no,no,no,yes,no,yes,yes,no,yes,no,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no
East Coast Sour Diesel,no,yes,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no
Eastern European,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes
Easy Bud,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no
Easy Peezy,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Ebola #7,yes,no,yes,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no
Ecto Cooler,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
Ed Rosenthal Super Bud,yes,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no
Edelweiss,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no
El Chapo OG,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,yes
El Jefe,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
El Niño,yes,yes,no,no,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no
El-Na,yes,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes
Elderberry Kush,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,yes,no,no,no,no,yes
Electric Black Mamba,yes,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Electric Kool Aid,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Electric Lemon G,yes,no,no,yes,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no
Elephant,yes,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no
Elphinstone,yes,no,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Elvis,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,no,yes,no,no,no,no,no,no
Emerald Jack,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Emerald OG,yes,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,yes,no,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no
Emperor Cookie Dough,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no
Endless Sky,yes,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
Enemy of the State,yes,no,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,no,no,no
Enigma,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,no,yes,no,yes,no,no,no
Eran Almog,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Erez,yes,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Euforia,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,yes
Eugene Cream,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Euphoria Cookies,yes,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no
Everlast,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no
Ewok,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,yes,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes
Exodus Cheese,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no,yes,no,yes,no,no,no,yes,no,no,no,no,no
Extreme Cream,yes,no,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes
Extreme OG,yes,no,yes,no,yes,no,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes
F'n louZER,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
Face Off OG,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no
Fast Eddy,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no
Fat Axl,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no
Fat Nelson,no,no,no,yes,yes,no,no,no,yes,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Fat Purple,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,yes
Faygo Red Pop,yes,no,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,no
Fire Alien Kush,yes,no,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no
Fire Haze,yes,yes,no,yes,yes,yes,no,yes,yes,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no
Fire OG,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,no
Firewalker OG,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
Flaming Cookies,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,yes,no,yes,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no
